feature,score,abs_score
職種関係_建設関係,0.43863808983668623,0.43863808983668623
職種関係_食品製造関係,0.09159985347983093,0.09159985347983093
"派遣会社_MYANMAR UNITED SK CO.,LTD",0.08221974992915831,0.08221974992915831
"派遣会社_M.H.E CO.,LTD",0.08094425585203271,0.08094425585203271
組合_JOP協同組合,0.05522095776521968,0.05522095776521968
入国時年齢,0.04815804756853986,0.04815804756853986
所在地(実習先)(市区町村)_石巻市,0.03415004198509535,0.03415004198509535
学校所属_マンダレー校,0.027904967073526105,0.027904967073526105
学校所属_パティン学校,0.0272838964960981,0.0272838964960981
所在地(実習先)(市区町村)_曾於市,0.02216201167830412,0.02216201167830412
性別_男,0.02214339873965467,0.02214339873965467
学校所属_ネピドー学校,0.02133132803937228,0.02133132803937228
職種_とび,0.017425282347098087,0.017425282347098087
職種_配管,0.013284614718957422,0.013284614718957422
所在地(実習先)(市区町村)_大刀洗町,0.013089886297686067,0.013089886297686067
所在地(実習先)(市区町村)_函館市,0.004443618192739939,0.004443618192739939
組合_アジアイノベーション協同組合,1.7610755119040216e-16,1.7610755119040216e-16
所在地(実習先)(市区町村)_甲賀市,0.0,0.0
所在地(実習先)(市区町村)_福津市,0.0,0.0
所在地(実習先)(市区町村)_米子市,0.0,0.0
所在地(実習先)(市区町村)_筑西市,0.0,0.0
所在地(実習先)(市区町村)_立川市,0.0,0.0
所在地(実習先)(市区町村)_空知郡南富良野町,0.0,0.0
所在地(実習先)(市区町村)_稲敷郡阿見町,0.0,0.0
所在地(実習先)(市区町村)_稲敷郡河内町,0.0,0.0
所在地(実習先)(市区町村)_秩父市,0.0,0.0
所在地(実習先)(市区町村)_摂津市,0.0,0.0
所在地(実習先)(市区町村)_福島市,0.0,0.0
所在地(実習先)(市区町村)_町田市,0.0,0.0
所在地(実習先)(市区町村)_甲府市,0.0,0.0
