入国時年齢,性別,職種関係,職種,所在地(実習先)(都道府県),所在地(実習先)(市区町村),派遣会社,学校所属,組合,所属機関,実際(失踪の有無),予測(LOOCV),失踪確率(LOOCV)
25.0,男,食品製造関係,加熱性水産加工食品製造業,宮城県,塩竈市,"M.H.E CO.,LTD",マンダレー校,JOP協同組合,"HIGH WIN INTERNATIONAL CO.,LTD",1,0,0.02234186335106268
26.0,女,食品製造関係,食鳥処理加工業,宮城県,角田市,"M.H.E CO.,LTD",ヤンゴン学校,JOP協同組合,AUNG THAIN KHA NGAR PON,1,0,0.011608538206594398
24.0,男,その他,工業包装,福井県,福井市,"M.H.E CO.,LTD",マンダレー校,日中ネットワークサービス協同組合,SMART SPACE CONSTRUCTION COMPANY LIMITED,1,0,0.03736441058073802
19.0,女,食品製造関係,水産練り製品製造,岡山県,総社市,"SUT ZAI CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,1,0,0.009558927510610939
26.0,男,建設関係,とび,東京都,新宿区,"SUT ZAI CO.,LTD",ミッチーナー学校,一般社団法人日中科学技術文化センター,MAY KINN SAN COMPANY LIMITED,1,0,0.013604295162475678
27.0,男,その他,コンクリート製品製造,福岡県,大刀洗町,"SUT ZAI CO.,LTD",ヤンゴン学校,一般社団法人日中科学技術文化センター,MAY KINN SAN COMPANY LIMITED,1,0,0.009762912287450213
27.0,女,食品製造関係,そう菜製造業,宮城県,仙台市,"SUT ZAI CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,1,0,0.038456142703340454
24.0,女,食品製造関係,そう菜製造業,兵庫県,姫路市,"SUT ZAI CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,1,0,0.00972283145942606
24.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,仙台市,"SUT ZAI CO.,LTD",ヤンゴン学校,宮城県農水産サービス振興協同組合,MAY KINN SAN COMPANY LIMITED,1,0,0.04874725623817311
26.0,女,その他,介護,福岡県,北九州市,"SUT ZAI CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,1,0,0.058234965770914755
22.0,男,その他,ビルクリーニング,福岡県,福岡市,"MOE YAN GENERAL SERVICES CO.,LTD",ヤンゴン学校,エフ・アドバンス経済協同組合,MAY KINN SAN COMPANY LIMITED,1,0,0.04136452633730204
24.0,男,建設関係,とび,神奈川県,相模原市,"MOE YAN GENERAL SERVICES CO.,LTD",ヤンゴン学校,エフ・アドバンス経済協同組合,MAY KINN SAN COMPANY LIMITED,1,0,0.03782258727339154
27.0,男,建設関係,鉄筋施工,福岡県,飯塚市,"MOE YAN GENERAL SERVICES CO.,LTD",ヤンゴン学校,エフ・アドバンス経済協同組合,MAY KINN SAN COMPANY LIMITED,1,0,0.03888097397315082
25.0,男,その他,工業包装,大分県,由布市,"MOE YAN GENERAL SERVICES CO.,LTD",ヤンゴン学校,エフ・アドバンス経済協同組合,MAY KINN SAN COMPANY LIMITED,1,0,0.03713994467552789
22.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,石巻市,"SUT ZAI CO.,LTD",MK日本語学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,1,0,0.04888151150373516
22.0,女,機械・金属関係,電子機器組立て,鳥取県,米子市,"SUT ZAI CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,1,0,0.03307688253508051
20.0,男,その他,塗装,茨城県,大分市,"SUT ZAI CO.,LTD",ヤンゴン学校,健康生活事業協同組合,MAY KINN SAN COMPANY LIMITED,1,0,0.03649382312891485
