,性別,職種関係,職種,所在地(実習先)(都道府県),所在地(実習先)(市区町村),派遣会社,学校所属,組合,所属機関
女,2026.0,,,,,,,,
男,1128.0,,,,,,,,
食品製造関係,,1545.0,,,,,,,
その他,,514.0,,,,,,,
建設関係,,490.0,,,,,,,
機械・金属関係,,289.0,,,,,,,
農業・林業関係,,129.0,,,,,,,
繊維・衣服関係,,70.0,,,,,,,
移行対象外,,69.0,,,,,,,
社内検定型,,40.0,,,,,,,
特定技能,,6.0,,,,,,,
高度人材,,2.0,2.0,,,,,,
そう菜製造業,,,909.0,,,,,,
非加熱性水産加工食品製造業,,,335.0,,,,,,
介護,,,293.0,,,,,,
建設機械施工,,,184.0,,,,,,
加熱性水産加工食品製造業,,,170.0,,,,,,
仕上げ,,,145.0,,,,,,
耕種農業,,,100.0,,,,,,
電子機器組立て,,,99.0,,,,,,
水産練り製品製造,,,95.0,,,,,,
とび,,,75.0,,,,,,
物流倉庫管理,,,57.0,,,,,,
塗装,,,47.0,,,,,,
婦人子供服製造,,,46.0,,,,,,
鉄筋施工,,,43.0,,,,,,
空港グランドハンドリング,,,40.0,,,,,,
左官,,,40.0,,,,,,
クリーニング,,,38.0,,,,,,
型枠施工,,,36.0,,,,,,
ビルクリーニング,,,33.0,,,,,,
溶接,,,31.0,,,,,,
防水施工,,,28.0,,,,,,
プラスチック成形,,,25.0,,,,,,
金属プレス加工,,,25.0,,,,,,
建築大工,,,21.0,,,,,,
工業包装,,,21.0,,,,,,
座席シート縫製,,,20.0,,,,,,
畜産農業,,,20.0,,,,,,
建築板金,,,18.0,,,,,,
配管,,,17.0,,,,,,
医療・福祉施設給食製造,,,13.0,,,,,,
洗濯業,,,12.0,,,,,,
食鳥処理加工業,,,12.0,,,,,,
冷凍空気調和機器施工,,,10.0,,,,,,
工場板金,,,10.0,,,,,,
ゴム製品製造,,,9.0,,,,,,
林業,,,9.0,,,,,,
コンクリート製品製造,,,8.0,,,,,,
パン製造,,,8.0,,,,,,
農業(特定技能),,,6.0,,,,,,
製本,,,5.0,,,,,,
鉄工,,,5.0,,,,,,
タイル張り,,,4.0,,,,,,
内装仕上げ施工,,,4.0,,,,,,
紙器・段ボール箱製造,,,4.0,,,,,,
表装,,,4.0,,,,,,
