特徴量,係数,絶対値
学校所属_MK日本語学校,3.2018940584438047,3.2018940584438047
所在地(実習先)(市区町村)_曾於市,2.793522081100028,2.793522081100028
所在地(実習先)(市区町村)_佐波郡玉村町,2.511728572914253,2.511728572914253
所在地(実習先)(市区町村)_高座郡寒川町,2.458798562269335,2.458798562269335
所在地(実習先)(市区町村)_北九州市,2.367057438396088,2.367057438396088
所在地(実習先)(都道府県)_大分県,2.246467640293585,2.246467640293585
所在地(実習先)(市区町村)_久慈市,2.1809114895184876,2.1809114895184876
学校所属_KP日本語学校,2.1619187905612973,2.1619187905612973
所在地(実習先)(市区町村)_釧路郡釧路町,2.1568976026663904,2.1568976026663904
所在地(実習先)(市区町村)_久留米市,-2.0786186744084065,2.0786186744084065
"派遣会社_M.H.E CO.,LTD",2.0553696814404208,2.0553696814404208
所在地(実習先)(市区町村)_越谷市,2.0473138966763513,2.0473138966763513
所在地(実習先)(市区町村)_大分市,2.0148714245330193,2.0148714245330193
職種_塗装,2.004251629432504,2.004251629432504
組合_日中ネットワークサービス協同組合,1.9389276446152957,1.9389276446152957
職種_型枠施工,1.8092157974490313,1.8092157974490313
所在地(実習先)(市区町村)_登米市,1.7980244880333158,1.7980244880333158
所在地(実習先)(市区町村)_津市,1.7885092088582049,1.7885092088582049
所在地(実習先)(市区町村)_大阪市,1.7867957021785699,1.7867957021785699
所在地(実習先)(市区町村)_川越市,1.77410983162272,1.77410983162272
職種_配管,-1.7281217829067346,1.7281217829067346
職種_そう菜製造業,-1.7226646266328,1.7226646266328
職種_熱絶縁施工,1.6684796866946554,1.6684796866946554
学校所属_パティン学校,-1.6561689578329852,1.6561689578329852
所在地(実習先)(市区町村)_長浜市,1.6415152756220122,1.6415152756220122
所在地(実習先)(市区町村)_西尾市,1.5734586123168244,1.5734586123168244
所在地(実習先)(市区町村)_札幌市,1.5648269913929493,1.5648269913929493
所在地(実習先)(市区町村)_松戸市,1.5627101216225883,1.5627101216225883
所在地(実習先)(市区町村)_草加市,1.5425394074646819,1.5425394074646819
所在地(実習先)(都道府県)_三重県,1.4839758600364468,1.4839758600364468
所在地(実習先)(都道府県)_千葉県,-1.483325487021927,1.483325487021927
"所属機関_GREAT MYANMAR CO.,LTD",1.4588033857968654,1.4588033857968654
職種_とび,1.4472354823009939,1.4472354823009939
組合_宮城県農水産サービス振興協同組合,-1.4466280453449605,1.4466280453449605
所在地(実習先)(都道府県)_鳥取県,1.4381069901482753,1.4381069901482753
所在地(実習先)(市区町村)_米子市,1.4381069901482753,1.4381069901482753
所在地(実習先)(市区町村)_鹿児島市,1.424144475250291,1.424144475250291
性別_女,-1.420934942580928,1.420934942580928
職種_プラスチック成形,-1.4119313030700946,1.4119313030700946
所在地(実習先)(市区町村)_尼崎市,1.3979232029342223,1.3979232029342223
組合_西日本海外業務支援協同組合,-1.3972725767004346,1.3972725767004346
所在地(実習先)(市区町村)_旭川市,1.3699122465569895,1.3699122465569895
組合_れいめい事業協同組合,1.3491477515611194,1.3491477515611194
所在地(実習先)(市区町村)_岩見沢市,-1.3255206849116745,1.3255206849116745
"派遣会社_MAY KINN SAN CO.,LTD",-1.307399766726639,1.307399766726639
組合_アジアイノベーション協同組合,-1.2881048479677397,1.2881048479677397
職種_建築板金,-1.2760789748388064,1.2760789748388064
職種_鉄工,1.2726017656539972,1.2726017656539972
所在地(実習先)(都道府県)_岡山県,-1.2545143452928698,1.2545143452928698
所在地(実習先)(都道府県)_岩手県,1.2503814377283027,1.2503814377283027
職種関係_食品製造関係,-1.2464404900854928,1.2464404900854928
学校所属_ヤンゴン学校,1.2461348025038703,1.2461348025038703
所在地(実習先)(市区町村)_遠賀郡,1.2375265245875668,1.2375265245875668
