入国時年齢,性別,職種関係,職種,所在地(実習先)(都道府県),学校所属,組合,失踪の有無
25.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
22.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
24.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
27.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
24.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
27.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
23.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
20.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
31.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
28.0,女,食品製造関係,そう菜製造業,埼玉県,N/A,JOP協同組合,0
30.0,女,食品製造関係,そう菜製造業,埼玉県,N/A,JOP協同組合,0
21.0,女,食品製造関係,そう菜製造業,埼玉県,N/A,JOP協同組合,0
22.0,女,食品製造関係,そう菜製造業,埼玉県,N/A,JOP協同組合,0
28.0,女,食品製造関係,そう菜製造業,埼玉県,N/A,JOP協同組合,0
25.0,女,食品製造関係,そう菜製造業,埼玉県,N/A,JOP協同組合,0
23.0,女,食品製造関係,そう菜製造業,埼玉県,N/A,JOP協同組合,0
30.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
33.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
30.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
33.0,男,食品製造関係,加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
22.0,男,食品製造関係,加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
26.0,男,食品製造関係,加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
24.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
23.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
23.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
25.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
22.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
21.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
33.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,N/A,JOP協同組合,0
