入国時年齢,性別,職種関係,職種,所在地(実習先)(都道府県),所在地(実習先)(市区町村),派遣会社,学校所属,組合,所属機関,0,1,人数
18.0,女,食品製造関係,そう菜製造業,北海道,小樽市,"M.H.E CO.,LTD",マンダレー校,JOP協同組合,"GREAT MYANMAR CO.,LTD",3,0,3
18.0,女,食品製造関係,そう菜製造業,埼玉県,草加市,"SUT ZAI CO.,LTD",ヤンゴン学校,アジアイノベーション協同組合,MAY KINN SAN COMPANY LIMITED,2,0,2
18.0,女,食品製造関係,そう菜製造業,岩手県,盛岡市,"MAY KINN SAN CO.,LTD",ヤンゴン学校,JOP協同組合,"GREAT MYANMAR CO.,LTD",2,0,2
18.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,石巻市,"SUT ZAI CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,2,0,2
18.0,男,その他,ビルクリーニング,福岡県,福岡市,"MAY KINN SAN CO.,LTD",マンダレー校,アジア開発事業協同組合,MAY KINN SAN COMPANY LIMITED,2,0,2
18.0,男,食品製造関係,そう菜製造業,岩手県,盛岡市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,2,0,2
19.0,女,その他,クリーニング,群馬県,板倉町,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,一般社団法人日中科学技術文化センター,MAY KINN SAN COMPANY LIMITED,3,0,3
19.0,女,機械・金属関係,仕上げ,愛知県,豊田市,"SUT ZAI CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,3,0,3
19.0,女,機械・金属関係,仕上げ,愛知県,豊田市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,4,0,4
19.0,女,機械・金属関係,電子機器組立て,福島県,福島市,"SUT ZAI CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,3,0,3
19.0,女,機械・金属関係,電子機器組立て,福島県,福島市,"TOP COMET CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,2,0,2
19.0,女,機械・金属関係,電子機器組立て,鳥取県,米子市,"SUT ZAI CO.,LTD",ラーショー学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,2,0,2
19.0,女,農業・林業関係,耕種農業,福岡県,古賀市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,九州産業振興協同組合,MAY KINN SAN COMPANY LIMITED,2,0,2
