特徴量,係数
学校所属_MK日本語学校,2.962721000468874
所在地(実習先)(市区町村)_曾於市,2.499302219897511
所在地(実習先)(市区町村)_上北郡東北町,2.1852179794995394
所在地(実習先)(市区町村)_越谷市,1.979907112489491
"派遣会社_M.H.E CO.,LTD",1.952782828043628
所在地(実習先)(市区町村)_朝倉市,1.9349128340642991
所在地(実習先)(市区町村)_高座郡寒川町,1.8823890903911256
所在地(実習先)(市区町村)_川越市,1.7964848582334403
所在地(実習先)(市区町村)_遠賀郡,1.7386011884813404
所在地(実習先)(市区町村)_北九州市,1.714833556392739
所在地(実習先)(市区町村)_松戸市,1.6695747728769095
所在地(実習先)(市区町村)_尼崎市,1.6048123520251925
職種_型枠施工,1.572614234806123
職種_鉄工,1.5419770531013701
学校所属_KP日本語学校,1.4619737294122528
所在地(実習先)(市区町村)_札幌市,1.415930323268086
学校所属_ヤンゴン学校,1.402996243903754
所在地(実習先)(市区町村)_奥州市,1.3220118362283713
所在地(実習先)(都道府県)_大分県,1.3046863265474902
所在地(実習先)(市区町村)_釧路郡釧路町,1.2848758033667071
所在地(実習先)(市区町村)_鹿児島市,1.2639819801960595
所在地(実習先)(市区町村)_西東京市,1.2228208888959005
職種_とび,1.2002180548071912
組合_れいめい事業協同組合,1.196688173039751
所在地(実習先)(市区町村)_神戸市,1.1523219363927675
職種_ビルクリーニング,1.1415199937056226
職種_建築板金,1.1387178239605475
所在地(実習先)(市区町村)_旭川市,1.1212337141483566
職種_非加熱性水産加工食品製造業,1.118435144456388
所在地(実習先)(市区町村)_久慈市,1.106298859447293
所在地(実習先)(市区町村)_佐波郡玉村町,1.0843854194864573
所在地(実習先)(市区町村)_塩竈市,1.062956138530517
所在地(実習先)(市区町村)_大分市,1.0403428808674007
職種_建設機械施工,0.9954953072694881
所在地(実習先)(市区町村)_仙台市,0.9588522098272634
所在地(実習先)(市区町村)_西尾市,0.9512749529077685
所在地(実習先)(市区町村)_登米市,0.9277862977163878
職種_塗装,0.9110899518018092
組合_三陸アシスト協同組合,0.8947300919220105
組合_日中ネットワークサービス協同組合,0.8616008058860791
所在地(実習先)(市区町村)_田川市,0.8227584823947834
職種_畜産農業,0.8224947069218467
所在地(実習先)(市区町村)_大牟田市,0.8100597128476128
所在地(実習先)(都道府県)_高知県,0.8093469140336015
所在地(実習先)(市区町村)_南国市,0.8093469140336015
組合_ハンズ協同組合,0.8093469140336015
職種_加熱性水産加工食品製造業,0.8030099107052884
職種_コンクリート製品製造,0.7316936796431803
所在地(実習先)(都道府県)_三重県,0.6471902286570258
所在地(実習先)(市区町村)_津市,0.6471902286570258
所在地(実習先)(市区町村)_大阪市,0.6403232101182308
所在地(実習先)(市区町村)_武蔵村山市,0.6364836487106293
所在地(実習先)(市区町村)_草加市,0.6355367271554564
所在地(実習先)(市区町村)_角田市,0.6308720409014761
職種_食鳥処理加工業,0.6308720409014761
所在地(実習先)(市区町村)_甲府市,0.5842276693794606
"所属機関_ATM TEXTILE CO.,LTD",0.5783431235523038
所在地(実習先)(都道府県)_福岡県,0.5491165835428766
所在地(実習先)(市区町村)_稲敷郡阿見町,0.5451159968029187
所在地(実習先)(市区町村)_朝倉郡,0.5276364446408178
"所属機関_GREAT MYANMAR CO.,LTD",0.5162657666181194
所在地(実習先)(市区町村)_倉敷市,0.5157940655373127
所在地(実習先)(市区町村)_つくば市,0.5137742441769908
所在地(実習先)(市区町村)_総社市,0.5053772589586796
職種関係_その他,0.5024020807447733
所在地(実習先)(都道府県)_岩手県,0.4988151687226916
所在地(実習先)(市区町村)_長浜市,0.47067529731862845
所在地(実習先)(市区町村)_米沢市,0.470445585157659
所在地(実習先)(都道府県)_山形県,0.470445585157659
所在地(実習先)(都道府県)_兵庫県,0.4675619212648008
所属機関_MAY KINN SAN COMPANY LIMITED,0.45342736299004827
所在地(実習先)(都道府県)_埼玉県,0.40383010978573486
所在地(実習先)(都道府県)_群馬県,0.34835799788033706
性別_男,0.3313853344020323
所在地(実習先)(都道府県)_山梨県,0.3293364248270816
組合_フォーグッド協同組合,0.325808306410063
所在地(実習先)(市区町村)_由布市,0.29346568374800697
組合_一般社団法人日中科学技術文化センター,0.2806830648735623
所在地(実習先)(市区町村)_小山市,0.277715501304991
所在地(実習先)(市区町村)_綴喜郡井手町,0.255202118061339
