特徴量,重要度
職種関係_建設関係,0.1838248293103221
入国時年齢,0.14762758317743874
組合_日中ネットワークサービス協同組合,0.04020442689621922
職種_そう菜製造業,0.03545114976881591
"派遣会社_M.H.E CO.,LTD",0.03271167055365392
学校所属_ヤンゴン学校,0.03180841121139982
組合_フォーグッド協同組合,0.027619351254753878
所在地(実習先)(市区町村)_佐波郡玉村町,0.02747514014029676
所在地(実習先)(市区町村)_石巻市,0.02678283467723738
職種関係_機械・金属関係,0.024161215571588464
性別_女,0.01948428600743222
所在地(実習先)(都道府県)_茨城県,0.01835883466193994
所在地(実習先)(都道府県)_大分県,0.018113172051425354
学校所属_パティン学校,0.01653038394609345
職種_建設機械施工,0.013183214111159467
学校所属_MK日本語学校,0.012069096404456966
"所属機関_HIGH WIN INTERNATIONAL CO.,LTD",0.011813285276639615
職種_水産練り製品製造,0.011238723877474398
職種_左官,0.011151307377116745
組合_宮城県農水産サービス振興協同組合,0.011124801613853718
所在地(実習先)(都道府県)_埼玉県,0.010556936214341445
組合_西日本海外業務支援協同組合,0.010016222164017185
"派遣会社_MYANMAR UNITED SK CO.,LTD",0.009699536010365818
職種_非加熱性水産加工食品製造業,0.009176299847625581
"派遣会社_TOP COMET CO.,LTD",0.008961994611232366
職種_配管,0.00804147640288081
所在地(実習先)(都道府県)_山梨県,0.007763477427928523
所在地(実習先)(市区町村)_大刀洗町,0.007498630647841798
所在地(実習先)(市区町村)_白石市,0.007035267549181002
所在地(実習先)(都道府県)_群馬県,0.007024361677612876
学校所属_ネピドー学校,0.006965908712701552
職種_耕種農業,0.006834817701350365
所在地(実習先)(市区町村)_相模原市,0.006227986406980909
組合_九州産業振興協同組合,0.006180224557084879
所在地(実習先)(市区町村)_仙台市,0.00569607448358175
所在地(実習先)(市区町村)_気仙沼市,0.005376013927929372
職種関係_その他,0.0051431749931972635
所在地(実習先)(市区町村)_那珂川市,0.004478062260741371
所在地(実習先)(市区町村)_鹿児島市,0.004451830880716823
所在地(実習先)(都道府県)_大阪府,0.004138285449580892
"派遣会社_SUT ZAI CO.,LTD",0.0038931633855352615
職種関係_農業・林業関係,0.003806711860022817
所在地(実習先)(都道府県)_長野県,0.0037667438226811224
所在地(実習先)(市区町村)_北九州市,0.0036953376424113432
所在地(実習先)(都道府県)_岩手県,0.003640438779716281
組合_一般社団法人日中科学技術文化センター,0.0035447630606776294
職種_防水施工,0.003202944599459307
所在地(実習先)(市区町村)_上北郡東北町,0.0031473127692236416
所在地(実習先)(市区町村)_江戸川区,0.0031214048522595957
所在地(実習先)(市区町村)_岩見沢市,0.003099877543508696
所在地(実習先)(市区町村)_京都市,0.003078572169666967
所在地(実習先)(市区町村)_岡山市,0.0030574856904773476
所在地(実習先)(市区町村)_久留米市,0.003036615117564444
所在地(実習先)(市区町村)_旭川市,0.0030062613747897948
所在地(実習先)(市区町村)_生駒市,0.0027976557488947128
所在地(実習先)(都道府県)_青森県,0.002572223725696981
職種_加熱性水産加工食品製造業,0.002554481316127708
所在地(実習先)(都道府県)_千葉県,0.0024619508638096736
所在地(実習先)(市区町村)_町田市,0.002430783668564887
所在地(実習先)(市区町村)_大磯町,0.002417956083869346
所在地(実習先)(市区町村)_空知郡南富良野町,0.002405229771392321
所在地(実習先)(市区町村)_新宿区,0.0023926036678891265
所在地(実習先)(市区町村)_八千代市,0.002380076724033072
所在地(実習先)(市区町村)_横浜市,0.0023676479041952764
所在地(実習先)(市区町村)_千葉市,0.0023553161862326236
所在地(実習先)(市区町村)_塩竈市,0.0023542900574468665
組合_健康生活事業協同組合,0.002172360961146098
所在地(実習先)(都道府県)_兵庫県,0.0018435511261855493
所在地(実習先)(市区町村)_茂原市,0.0017114661426417244
所在地(実習先)(市区町村)_東近江市,0.001705270675665506
所在地(実習先)(市区町村)_江東区,0.0016991087890751934
所在地(実習先)(市区町村)_行橋市,0.0016929802406272121
所在地(実習先)(市区町村)_船橋市,0.0016868847902588332
所在地(実習先)(都道府県)_北海道,0.0016778884892407072
組合_アジアアグリ協同組合,0.0016747922342689886
所在地(実習先)(市区町村)_立川市,0.0016687946592140314
所在地(実習先)(市区町村)_鴻巣市,0.0016659988961861133
職種_建築大工,0.0016613672153916212
所在地(実習先)(市区町村)_夕張郡栗山町,0.0016568957570937941
所在地(実習先)(市区町村)_明石市,0.0016509939730572742
所在地(実習先)(市区町村)_富士吉田市,0.0016451236657734232
所在地(実習先)(都道府県)_山口県,0.0016392846118004807
所在地(実習先)(市区町村)_宮若市,0.0016276993798964843
所在地(実習先)(市区町村)_小松市,0.001596641253099338
職種_プラスチック成形,0.0015798489325580826
職種_林業,0.0014851548060769403
職種関係_食品製造関係,0.001148063970381191
所在地(実習先)(都道府県)_東京都,0.0010201564301669831
"所属機関_GREAT MYANMAR CO.,LTD",0.0009590169468348073
職種_建築板金,0.0009420111784616414
所在地(実習先)(市区町村)_一関市,0.0009302008619689957
所在地(実習先)(市区町村)_松戸市,0.0009094963598508495
所在地(実習先)(都道府県)_神奈川県,0.0008992866641732483
組合_JOP協同組合,0.0008982844436430771
所在地(実習先)(市区町村)_八尾市,0.0008959341804130294
所在地(実習先)(市区町村)_北葛飾郡松伏町,0.0008959341804130024
所在地(実習先)(市区町村)_枚方市,0.000893519710788981
所在地(実習先)(市区町村)_印西市,0.0008918297737691998
組合_ウエストワード協同組合,0.0008909811496585274
学校所属_MAY日本語学校,0.0008901446265520939
所在地(実習先)(市区町村)_上川郡美瑛町,0.0008884642510544948
所在地(実習先)(都道府県)_佐賀県,0.0008867886292771215
所在地(実習先)(市区町村)_長岡市,0.0008851177433064567
所在地(実習先)(市区町村)_飯塚市,0.0008834515753124319
所在地(実習先)(市区町村)_名古屋市,0.0008817901075500694
所在地(実習先)(市区町村)_茨木市,0.0008801333223558009
職種_鉄筋施工,0.0008795398362348697
所在地(実習先)(市区町村)_市原市,0.0008784812021510008
所在地(実習先)(市区町村)_綾瀬市,0.0008768337294383716
所在地(実習先)(市区町村)_港区,0.0008751908868026607
所在地(実習先)(市区町村)_鎌ケ谷市,0.0008735526569101853
所在地(実習先)(市区町村)_姫路市,0.0008719190225081851
所在地(実習先)(都道府県)_宮城県,0.0008702899664250173
"派遣会社_MOE YAN GENERAL SERVICES CO.,LTD",0.0008514937720425805
組合_ハンズ協同組合,0.0008329994480930457
学校所属_CB日本語学校,0.000824050320060538
"所属機関_ATM TEXTILE CO.,LTD",0.00011112446716031158
所在地(実習先)(都道府県)_鹿児島県,0.00010217335169478485
所在地(実習先)(市区町村)_稲敷郡阿見町,8.641546647597841e-05
組合_アシスト国際事業協同組合,8.579344539482546e-05
所在地(実習先)(市区町村)_由布市,8.4113899626254e-05
組合_エフ・アドバンス経済協同組合,6.412103345187737e-05
所在地(実習先)(都道府県)_岡山県,5.5688791495117134e-05
職種_とび,4.013620125990123e-05
所在地(実習先)(市区町村)_登米市,2.8389566769314077e-05
職種_型枠施工,6.832028458181152e-06
所属機関_MAY KINN SAN COMPANY LIMITED,6.649468374370053e-17
所属機関_AUNG THAIN KHA NGAR PON,4.654627862059037e-17
所在地(実習先)(市区町村)_遠賀郡,2.6489752060498582e-17
所在地(実習先)(市区町村)_米子市,1.3190815311758481e-17
所在地(実習先)(市区町村)_高座郡寒川町,1.1677115194015702e-17
性別_男,1.4055786807611493e-18
所在地(実習先)(市区町村)_肝属郡錦江町,0.0
所在地(実習先)(市区町村)_清須市,0.0
所在地(実習先)(市区町村)_清瀬市,0.0
所在地(実習先)(市区町村)_淀川区,0.0
所在地(実習先)(市区町村)_浜松市,0.0
所在地(実習先)(市区町村)_津市,0.0
所在地(実習先)(市区町村)_沼田市,0.0
所在地(実習先)(市区町村)_泉佐野市,0.0
所在地(実習先)(市区町村)_熊毛郡屋久島町,0.0
所在地(実習先)(市区町村)_草加市,0.0
所在地(実習先)(市区町村)_荒川区,0.0
